No,Name_of_Company,Address,Phone,Industry
9601.,JAYA SENTOSA,"K Kasihin Vi / 399  Jl, Tulungagung, Jawa Timur",321617,Sumpit Bambu
9602.,"JAYA SENTOSA ,PT","Jl.babakan Tarogong No.244, Bandung, Jawa Barat",022-6035929,Rajut
9603.,"JAYA SENTOSA ST, PT","Jl Ds Bibis 8, Surabaya, Jawa Timur",031-7406091,Lead Sheet & Plat Kuningan
9604.,"JAYA SENTOSA, CV","Komp Sadang Industri, Bandung, Jawa Barat",,Kaos Rajut
9605.,"JAYA SENTRA METAL, PT","Jl. Menjangan Raya No.66, Tangerang, Banten",021 74710822,Sparepart Motor/metal Stamping
9606.,"JAYA SENTRIKON INDONESIA, PT","Jl. Padang By Pass Kasang, Padang Pariaman, Sumatera Barat",0751-480032,Tiang Beton Praktekan
9607.,"JAYA SERASI GARMINDO, PT","Kp Jami Rt 3/4, Sukabumi, Jawa Barat",0266-736222,Pakaian Jadi
9608.,"JAYA SWARASA AGUNG,PT","Jl Parung Panjang Raya No 68, Tangerang, Banten",0251 5470201,Kerangka Lampu Hias
9609.,JAYA TANI.CV,"Dsn.brak Ds.wadeng, Gresik, Jawa Timur",031-3948087,Pupuk Phospate Dan Npk
9610.,"JAYA TEHNIK, CV","Margomulyo Indah 18, Jl, Surabaya, Jawa Timur",7493138,Mesin Paving
9611.,"JAYA TERUS LESTARI,PT","Jl Raya Rengas Dengklok, Karawang, Jawa Barat",0267-482090,Es Balok
9612.,"JAYA TEXAS, PD","Jl Terusan Kiaracondong Gg Masjid No 12 Bandung, Bandung, Jawa Barat",,Rajut
9613.,"JAYA UTAMA PLASTIK, CV","Jl Danau Toba No 40 P.siantar, Pematang Siantar, Sumatera Utara",0622-7552114,Tali & Kantong Plastik
9614.,JAYA UTAMA PRAMUDITA,"Muntilan 47, Kota Cimahi, Jawa Barat",6079684,Sweater
9615.,JAYA UTAMA PRAMUDITA /JUP,"Jl.andir R I Winata No.6 C /79, Bandung, Jawa Barat",0226014268,Switer
9616.,"JAYA UTAMA, CV","Baitul Rahman No. 71, Makassar, Sulawesi Selatan",0411-444483,Baju Kaos
9617.,"JAYA UTAMA, UD","Raya Banjar Sugihan 19, Jl, Surabaya, Jawa Timur",7406658,Nako
9618.,"JAYA VISTA PERKASA METAL, PT","Jl. Raya Pasar Kemis Km 3,5, Tangerang, Banten",5900601,Rolling Door
9619.,"JAYA WIJAYA, CV","Rungkut Tengah 75, Jl, Surabaya, Jawa Timur",8700365,Kopi Bubuk & Teh
9620.,"JAYA, CV","Jl. Mangga Ubi No 40, Jakarta Barat, DKI Jakarta",021-6196013,Meubel Rotan
9621.,"JAYA, PD","Jl. Kenten No.052 Rt.03  Sukamaju, Palembang, Sumatera Selatan",(0711) 810060,Kopi Bubuk
9622.,"JAYA, PD","Jl Raya Leuwiliang Ds Cibadak, Bogor, Jawa Barat",0251-621831,Kapur Tembok
9623.,"JAYA, UD","Raya Bondowoso 88, Jl, Situbondo, Jawa Timur",891043,Beras
9624.,"JAYABAYA RAYA, PT","Jl Pagesangan 12              Jl Ra Kartini 53, Surabaya, Jawa Timur",8280447,Sabun Cuci Cream Detergent
9625.,"JAYABAYA, YAYASAN","Embong Malang 69h, Jl, Surabaya, Jawa Timur",5341169,Majalah
9626.,"JAYACON PANEL UTAMA, PT","Jl Raya Cisauk - Legok No.2 Serpong, Tangerang, Banten",021-7562866,Pagar Beton
9627.,"JAYAKARTA AGUNG OFFSE,  PT","Pangeran Jayakarta No 70 A , Jl, Jakarta Pusat, DKI Jakarta",021-6595373,Barang Cetakan
9628.,"JAYAKARTA EKA CEMERLANG, PT","Komp. Multiguna Blok A1 No. 8a-b Serpong, Tangerang, Banten",021-5399340,Jasa Bordir
9629.,JAYAMAS HEDICA INDUSTRI.PT,"By Pass Krian Km 28.jl, Sidoarjo, Jawa Timur",031 8985269,Alat Alat Kesehatan
9630.,JAYANA GARMENT/SURYANI INGEAWATI,"Jl Yakin No 51 Kel Pasirkaliki, Bandung, Jawa Barat",022-4039186,Baju
9631.,"JAYANEGARA INDAH,PT","Kp.jaya Negara, Sukabumi, Jawa Barat",0266-621370,Teh Hijau
9632.,JAYANI,"Blok Silayar, Cirebon, Jawa Barat",0231323276/081238102,Rangka Kursi Rotan
9633.,"JAYANTARA SAKTI, PT","Raya Krian-mojosari, Jl, Mojokerto, Jawa Timur",591470,Kertas Sol Sepatu
9634.,"JAYINDO PERKASA,PT","Jl.pkl Ia No.29, Bekasi, Jawa Barat",,Logam Bubut
9635.,"JAYKAY FILES INDONESIA, PT","Sukodono Jl, Sidoarjo, Jawa Timur",8912181,Kikir Dan Mata Bor
9636.,JAYUS,"Kedungrejo Rt 10/04, Sidoarjo, Jawa Timur",0343-655922,Krupuk
9637.,JD GARMENT,"Jl Arak-arak No.57 Telukan, Sukoharjo, Jawa Tengah",0271-7501963,Konveksi
9638.,JDK SHOES,"Kp.ciapus Kompas Rt.02/01, Bogor, Jawa Barat",0251-8631820,Sepatu
9639.,JEANS COLECTION,"Jl.ciborelang No.145 A, Bandung, Jawa Barat",5417372,Pakaian Bayi
9640.,JEANS SINAR BUSANA,"Panjang Wetan Gg 6, Pekalongan, Jawa Tengah",0285 424247,Celana Jeans
9641.,JEC GARMEN,"Br, Gadon No.99 X, Kerobokan, Badung, Bali",03617424267,Pakaian Jadi
9642.,"JEDOK STONE, CV","Tegal Rejo, Karangasem, Sitimulyo, Bantul, D.I. Yogyakarta",-,Industri Ubin Dari Batu
9643.,"JEDOK, CV","Jl. Imogiri Barat Km 4,5, Bantul, D.I. Yogyakarta",0274 411648,Exspori Stone Handi Craft
9644.,JEFRY WIRAWAN,"Jl.pungkur No235,kel.pungkur, Bandung, Jawa Barat",,Konveksi
9645.,"JEFTA PRAKARSA PRATAMA,PT","Jl.raya Iskandar Muda No.55 Neglasari, Tangerang, Banten",021-5581921,Panel Listrik
9646.,"JEIL BASKET INDONESIA, PT","Jl. Bodesari, Cirebon, Jawa Barat",0231-320121,Basket Rattan
9647.,"JEIL FAJAR INDONESIA,PT","Jl.mayor Oking Jaya Atmaja No.88, Bogor, Jawa Barat",021-8753870,Gasket Dan Insulating
9648.,"JEIL INDONESIA,PT","Jl.raya Siliwangi Km.9 Komp.blue Bird, Bekasi, Jawa Barat",021-82611020,Printing
9649.,JEJEN/JAENUDIN,"Dahlia 3 No.30, Jakarta Barat, DKI Jakarta",021-6197384,Bordir
9650.,"JELITA ANUGERAH, PT","Ngrame, Ds, Mojokerto, Jawa Timur",591544,Benang Tenun
9651.,JEMADI,"Mandesan Rt 02 Rw 3, Blitar, Jawa Timur",,Tembakau
9652.,JEMARI,"Gedangan Kulon Rt.35 Rw.10, Malang, Jawa Timur",0341 571075,Kalung Emas
9653.,JEMARINDOJAYA,"Kamal Muara Iii/21, Jakarta Utara, DKI Jakarta",021-5552941,Percetakan
9654.,JEMBAR RASA,"Kp Kiara Pandak Rt 07/03, Subang, Jawa Barat",0260-480028,Keripik Singkong
9655.,"JEMBAR TEX, CV","Jl.raya Laswi No. 108, Bandung, Jawa Barat",022-5950338,Kain Bodasan(makloon)
9656.,JEMBATAN EMAS,"Trompoasri Ds, Sidoarjo, Jawa Timur",,Rokok Kretek
9657.,"JEMBATAN MERAH, PERTENUNAN","Silungkang Tigo, Sawah Lunto, Sumatera Barat",(0755) 91155,Kain Sarung
9658.,JEMBER JAYA,"Jl. Mi Haryono No.142, Jember, Jawa Timur",0331334663,Limun
9659.,"JEMBO CABLE COMPANY TBK, PT","Jl. Pajajaran Ds. Gandasari Kec. Jatiuwung Tangerang Banten, Tangerang, Banten",021-5919442-47,Kabel Listrik
9660.,JEMCO PLASTIK,"Jl. Siaran No. 955, Palembang, Sumatera Selatan",0711-820007,Biji Plastik
9661.,JEMO/WULAN KERANG REBUS,"Kali Baru Timur Rt 012/001, Jakarta Utara, DKI Jakarta",,Kerang Rebus
9662.,JEMPOL JAYA,"Jl Yos Sudarso 51, Kediri, Jawa Timur",687929,Kecap
9663.,JEMPOL SARI PLASTIK SETIAJAYA,"Jl.suryani No.38, Bandung, Jawa Barat",6014517,Kemasan
9664.,JEMPOL/ MUNAWAROH,"Pesisir Besuki.jl, Situbondo, Jawa Timur",891660,Kerupuk
9665.,"JEN TSONG INDONESIA, PT","Raya Krikilan Km. 28, Jl, Gresik, Jawa Timur",7507270,Kain Renda
9666.,JENAB,"Jl Nyimas Pakung Wati  Rt 01 Rw 03, Cirebon, Jawa Barat",,Kue Kering
9667.,JENANG JAKET,"Jl. Pkk No.600 Mersi, Banyumas, Jawa Tengah",0281-639133,Jenang Dan Wajik
9668.,JENANG JAKET ASLI,"Jl. Adipati Mersi 68, Banyumas, Jawa Tengah",0281-633745,Jenang Jaket
9669.,JENANG KETAN ASLI,"Lesmono Rt.03/08, Banyumas, Jawa Tengah",,Jenang Ketan
9670.,JENANG MADU SIRAT,"Cacaban Kidul, Purworejo, Jawa Tengah",0275-3306430,Jenang
9671.,JENANG MENARA,"Jl. Sostrokartono 288, Kudus, Jawa Tengah",0291-433326,Jenang
9672.,"JENSHIANG NUSANTARA TEXTILE, PT","Jl Cibaligo No 238 Kel Melong, Kota Cimahi, Jawa Barat",633738,Kimia Textile
9673.,"JENTERA MASDAITA, PT","Jl. Kesturi No.60, Binjai, Sumatera Utara",061-8824768,Kerupuk
9674.,JEPARA KARNO SUWITO/MEKAR PERABOT,"Jl. Roso Dusun Viii, Deli Serdang, Sumatera Utara",,Perabot Rumah Tangga
9675.,"JEPRO MEBEL ANTIK,  PT","Jl Raya Krasak Pecangaan, Jepara, Jawa Tengah",0291-755211,Meubel
9676.,JERAPAH PLASTIK,"Jl. Debegan Mojosango Rt. 04/2, Surakarta, Jawa Tengah",0271-854469,Kantong Plastik
9677.,"JERDYTEX, PT","Kp Mencut Desa Lagadar No.8, Bandung, Jawa Barat",022-6671351,Kain Grey
9678.,JERUK PECEL/WAHYU LAKSONO/,"Anggrek 96, Jl, Bangkalan, Jawa Timur",3095706,Kecap
9679.,"JERUK PURUT, SAMBEL PECEL","Delima 32, Jl, Kota Madiun, Jawa Timur",035455793,Sambel Pecel
9680.,JETWIN INTERNATIONAL PT,"Babakan Madang Cijayanti, Bogor, Jawa Barat",021-8757624,Perakitan Sepeda Motor
9681.,"JEWELRY DESIGN SERVISE, PT","Br. Baturning No.1 Mamabal, Abiansemal, Badung, Bali",0361469888,Muilding And Desigent
9682.,"JFE SHOJI STEEL IND,PT/KAWASHO STEEL","Mm 2100 Jl Kalimantan I  B-4-2, Bekasi, Jawa Barat",8980903,Electric Componen
9683.,JHONSAM ROTAN,"Jl Aspen Karangsari Blok Ngebei, Cirebon, Jawa Barat",0231321471,Kursi Rotan
9684.,"JIALIN WOOD, PT","Jl.selamat 22 Kompos, Deli Serdang, Sumatera Utara",061-8476868,Meubel
9685.,"JIAR,PT/ J -ART,CV","Jl. Otista, Garut, Jawa Barat",0262-2248064,Al-quran Dan Buku Agama Islam
9686.,"JIBUHIN BAKRI INDONESIA, PT","Jl Maligi Ii Lot C 7 D Kiic, Karawang, Jawa Barat",8904216,Komponen Kendaraan Roda 4
9687.,"JIDECO,PT","Kota Bukit Indah D Iii No.1, Purwakarta, Jawa Barat",351667,Spare Part Mobil
9688.,JIM JOKER,"Kedinding Tengah Ii/14 A, Surabaya, Jawa Timur",3767229,Sandal Kulit
9689.,"JIMBARAN LESTARI, UD","Jl Celagi Basur No 1 Jimbaran, Badung, Bali",0361702620,"Kompos, Pakan Ternak"
9690.,"JIMMY GARMENT, CV","Raya Kuta No.1, Jl., Badung, Bali",(0361)753294,Pakaian Jadi
9691.,JIMMY GUNAWAN/DIGO,"Jl Cibolerang 203, Bandung, Jawa Barat",022 - 5426156,Pembuatan Pakaian Jadi Anak2
9692.,"JIN GLOBAL/BUANA ADNA JAYA,PT","Jl.raya Cikaret Rt.01/06 No.10, Bogor, Jawa Barat",021-8754162,Pakaian Jadi
9693.,JINAWI LUHUR,"Jl.kali Jaga No.159, Cirebon, Jawa Barat",0231.205958,Kerupuk  Udang
9694.,"JINDO INDUSTRI, PT","Jl.akasia Ii Kav A No 7-3 Delta Silikon, Bekasi, Jawa Barat",021-8972121,Larutan Pencampur Tekstil
9695.,JIO TJUN THIAN / CIPTA KARYA INDAH,"Jl.babakan Ciparay 169 Baru, Bandung, Jawa Barat",634261,Kaos
9696.,JITU JAYA,"Jl Raya Kemloko Desa Beji, Pasuruan, Jawa Timur",,Krupuk
9697.,"JITU, PT","Jl. Raya Serang Km. 16, Tangerang, Banten",021-59402409,Jamu
9698.,JIWO CREATION,"Kwarasan Rt 08/01, Sukoharjo, Jawa Tengah",0271-621701,Pakaian Jadi
9699.,JIYO TEMBAKAU,"Dukuh Gadugan, Klaten, Jawa Tengah",085716137212,Tembakau
9700.,JIYO'G KONVEKSI,"Jl. Raya Notog No. 3, Banyumas, Jawa Tengah",0281-6844887,Singlet
9701.,JJ FURNITURE,"Gedangan Permai Blok G No 8 -10, Sukoharjo, Jawa Tengah",0271-620901,Furniture
9702.,JKARAMA TAMA PT,"Jl Raya Ciawi Sukabumi Km 2,5, Bogor, Jawa Barat",241241,Mie Insatan /michiyo
9703.,"JLS INDONESIA, PT","Komplek Hijrah Blok F No. 1, B A T A M, Kepulauan Riau",0778-465016,Sarung Jok Mobil
9704.,"JM MUTU UTAMA, PT","Kawasan Ind Modern Cikande Jl. Modern Industri Iii No. 5, Serang, Banten",0254-403844-46,Emultion Breaker
9705.,JM. COLECTION,"Jl Sukarno Hatta Kompleks Lik, Bandung, Jawa Barat",022-7801491,Rajut
9706.,JMG,"Jl. Raden Intan 57, Malang, Jawa Timur",,Accesoris Mobil
9707.,JMR / MUTIARA JAYA,"Blok Mayasari Ds Sukasari Kec Cikijing, Majalengka, Jawa Barat",0233319947,Krudung Kain
9708.,"JO PERKASA SYNTETICS FIBER, PT","Jl Raya Cisaat Sukawangi Rt 3/12, Bandung, Jawa Barat",022-6868605,Pemintalan
9709.,"JOAN TEKSTIL, PT","Jl Pasir Panjang No.128, Bandung, Jawa Barat",022-5880308,Benang
9710.,"JODY GARMENT, PT","Jl. Pulau Batanta Iv/12 B, Denpasar, Bali",(0361) 221521,Pakaian Jadi
9711.,"JOEN'S SEJAHTERA, UD","Ds.asembagus, Situbondo, Jawa Timur",0338 451741,Mebel Dari Kayu
9712.,"JOENOES EKA MULIA, PT","Jl. Rawa Bulak Kav Iii/17 Kip, Jakarta Timur, DKI Jakarta",021-4602447,Pembersih Rumahtangga
9713.,JOE`S BAKERY,"Jl Lmu Nurtanio 92, Bandung, Jawa Barat",022-6030667,Roti & Kue
9714.,"JOF METAL WORKS LTD,  PT","Jl Industri Raya No.13, Jakarta Pusat, DKI Jakarta",021-6006448,Rolling Dor
9715.,"JOGJA LESTARI, UD","Kranggan Ngeposari, Gunung Kidul, D.I. Yogyakarta",,Tegel Dari Batu Putih
9716.,"JOGLO BALI MUKTI, UD","Dalung Permai Blok 3 No.48 Kerobokan, Badung, Bali",03617441847,Pakaian Jadi
9717.,"JOGLO FURNITURE,CV","Ring Road Selatan, Glugo, Bantul, D.I. Yogyakarta",0274-387770,Mebel Kayu
9718.,JOHAN BAKSO,"Villa Kapuk Mas Blok C No. 4/5, Jakarta Utara, DKI Jakarta",021-5882140,Bakso
9719.,JOHAN KONVEKSI,"Sugriwa, Jakarta Barat, DKI Jakarta",021-5817851,Konfeksi
9720.,JOHAN PATI AREN,"Dk Margoluwih, Klaten, Jawa Tengah",,Pati Aren Basah
9721.,"JOHAN SENTOSA, PT","Kebun Sungai Jernih, Kampar, Riau",0761-26111,Minyak Sawit Mentah
9722.,JOHAN'S FRAME/KARYA DHARMA VETERAN,"Jl. A. Yani Gg. Asem Gede I/11, Jakarta Timur, DKI Jakarta",021-8510253,Bingkai Kayu
9723.,JOHANES KONVEKSI,"Pademangan Timur 4 Gg 15/12, Jakarta Utara, DKI Jakarta",021-64711889,Jas Wanita
9724.,JOHANES TRAVO,"Sukarela Rt 002/09 No.23, Jakarta Utara, DKI Jakarta",021-6694183,Kotak Travo
9725.,JOHAR BORDIR,"Pasinan Barat, Ds, Banyuwangi, Jawa Timur",-,Jasa Bordir
9726.,"JOHN FRANCIS LABORATORIES, CV","Jl. Sunan Kudus No. 54, Kudus, Jawa Tengah",0291-437080,Hair Cream
9727.,"JOHN'S COLLECTION JAYA, PT","Sidotopo Kidul 49a Jl, Surabaya, Jawa Timur","310520,360536",Pakaian Anak
9728.,"JOHN'S GLOVE FACTORY, PT","Jl. Beringin Raya No. 871, Semarang, Jawa Tengah",024-8664645,Sarung Tangan Kulit
9729.,JOHNI SUHARTONO PLASTIC,"Kartini, Jl., Kota Mojokerto, Jawa Timur",0321 321611,Komponen Electro
9730.,JOIN INDAH.CV,"Margomulyo Indah B-7, Surabaya, Jawa Timur",7497401,Panel
9731.,"JOJA, CV","Bulu Bercak Jogotirto, Sleman, D.I. Yogyakarta",0274-4398328,Furniture
9732.,JOJO,"Karet Sawah Rt 03/03 No. 221, Jakarta Selatan, DKI Jakarta",021-52907239,Baju Batik
9733.,JOKO PRIYANTO PATI AREN,"Dk Bendo, Klaten, Jawa Tengah",,Pati Aren
9734.,JOKO RAWIT BATIK,"Jl. Samanhudi, Pekalongan, Jawa Tengah",,Batik
9735.,JOKO SANTANA PRINTING,"Jl.sulaksana I No.10, Bandung, Jawa Barat",022-7271930,Printing
9736.,JOKO SUSANTO OPEN TEMBAKAU,"Dukuh Gedongan Lor Rt 01 Rw 05, Klaten, Jawa Tengah",,Daun Tembakau Kering
9737.,JOLYC BRASS KUNINGAN,"Jl. Juwana - Tayu Km 02, Pati, Jawa Tengah",0295-471855,Handle Pintu
9738.,JON'IN SHOES,"Jl. H. Samsudin No 56, Bandung, Jawa Barat",022-5200487/5210419,Sepatu
9739.,JONATHAN KONFEKSI,"Satria Raya 4 No.24, Jakarta Utara, DKI Jakarta",021-6471342,Kemeja Lengan Pendek
9740.,JONI KONFEKSI,"Jembatan Balok Iii No.34, Jakarta Barat, DKI Jakarta",021-63864821,Kaos
9741.,JONI YUNUS/SERJA,"Jl.kap.jumhana No.3c/jl.akik, Medan, Sumatera Utara",061-7368671,Industri Pakaian Jadi
9742.,"JOONGANG FOODS, CV","Kp Lembang Rt. 23/06, Sumedang, Jawa Barat",022-7915179,Makanan Ringan
9743.,JORDAN BAKERY,"Paslaten I Link Vi, Tomohon, Sulawesi Utara",04313157262,Roti
9744.,JORDAN BAKERY,"Jl.sultan Alauddin No 24, Gowa, Sulawesi Selatan",865055,Roti
9745.,JORDAN FOOD,"Desa Branggahan Krajan Rt 01/03, Dsn, Kediri, Jawa Timur",0354 477777,Roti Manis
9746.,JORDAN PLASTIK,"Jl. Tangki Lio No. 64-66, Jakarta Barat, DKI Jakarta",021-6241747,Barang-barang Plastik
9747.,"JOSAN HOKINDO, PT","Jl Kokpo Cirangarang No. 19, Bandung, Jawa Barat",022-5400290,Pakaian Pria & Wanita
9748.,"JOSHUA PUTRA, PD","Jl. Prepedan No. 18 Rt. 002/009, Jakarta Barat, DKI Jakarta",021-5550456,Sablon Kaos
9749.,"JOSONANDA SEJAHTERA, PT","Jl. Pekapuran Ii No. 10, Jakarta Barat, DKI Jakarta",021-6323713,Pakaian Bayi
9750.,"JOTUN POWDER COATINGS INDONESIA, PT","Jl. Raya Legok No. 68 Km 6,8 Legok Tanggerang, Tangerang, Banten",021 5468435,Cat Bubuk
9751.,"JOUNG SAUDARA ABADI BUSANA,PT","Bintang Mas Rt.01/02, Bogor, Jawa Barat",,Pakaian Jadi
9752.,JOVAN TECHNOLOGIES,"Union Industrial Park B1/1-2, B A T A M, Kepulauan Riau",0778-412368,Connector Elektronika
9753.,JOY COLLECTION,"Jl. Ciliwung 47a, Malang, Jawa Timur",0341 493192,Konveksi
9754.,"JOYO MULYA, CV","Sawunggaling I/5 Jl, Sidoarjo, Jawa Timur",7882407,Alat Rt Dan Kantor Dari Besi
9755.,"JOYO NOTO, UD/INDUSTRI BATU ORNAMEN","Karbolo Rt. 3/18 Sumberejo, Gunung Kidul, D.I. Yogyakarta",081328624000,Ukiran Batu Tempel+ornamen
9756.,JUARA KILANG KERUPUK,"Jl.medan-d.tua Km 7,6 Gg. Ladang 183b, Medan, Sumatera Utara",061-7860147,Kerupuk Mesis
9757.,"JUARA SAKTI, PT","Rungkut Industri Ii.no.23.jl, Surabaya, Jawa Timur",8438012,Accu
9758.,JUENI,"Jajar Rt 01/11, Blitar, Jawa Timur",,Tembakau Rajang
9759.,JUFRI,"Ds. Jogodalu Rt.09/02, Gresik, Jawa Timur",70040498,Sarung
9760.,JUHANDI RAJUT,"Kpcisalak Rt 01/05, Bandung Barat, Jawa Barat",,Rajut Sweater
9761.,"JUI FA INTERNATIONAL FOOD,  PT","Jl. Lingkar Timur No.53, Cilacap, Jawa Tengah",0282-537966,Tuna Dlm Kaleng
9762.,"JUI SHIN INDONESIA, PT","Jl.  P. Pini Kim Ii, Deli Serdang, Sumatera Utara",061.6871288,Keramik
9763.,"JUJU MANDRA GUNA, PT","Kara Industrial Park Blok C5 No. 3, B A T A M, Kepulauan Riau",0778-464146,"Panel Listrik, Automosi"
9764.,JUKI ROTAN,"Jlki Gede Maya Guna, Cirebon, Jawa Barat",081324173307,Laci Rotan 1/2 Jadi
9765.,"JULI SUBUR, PT","Jl. Sukabumi Lama No. 174, Deli Serdang, Sumatera Utara",061-8452360,Sabun Cuci
9766.,"JULINDO KURNIA SANDANG, PT","Jl. Raya Duri Kosambi Rt.06/01 No.72, Jakarta Barat, DKI Jakarta",021-5439660,Pakaian Jadi Anak-anak
9767.,JULITA PERTENUNAN/MIFTAKHUDIN,"Karangrejo 14, Pasuruan, Jawa Timur",611943,Lap Pel
9768.,JULU ATI,"Lingk Jatia, Jeneponto, Sulawesi Selatan",,Topi Daun Lontar
9769.,"JUMADI PUTRA/BUPUNDO GARMENT, PT","Jl. Raya Penggilingan Pik Blok E 59/62, Jakarta Timur, DKI Jakarta",021-4600124,Garment
9770.,"JUMADIN, SHUTTLE COOK","Lesanpuro Ii/76, Malang, Jawa Timur",,Shuttle Cook
9771.,"JUMAIYAH, H","Masjid.jl, Gresik, Jawa Timur",7990836,Sarung Kembang
9772.,JUMANTORO BATIK,"Jl Untung Suropati, Pekalongan, Jawa Tengah",0285-4418068,Sarung Batik
9773.,"JUMBO POWER INTERNASIONAL, PT","Yos Sudarso No.88, Jakarta Utara, DKI Jakarta",021-6506902,"Minyak Pelumas, Minyak Rem"
9774.,JUMIAN,"Toyaning, Pasuruan, Jawa Timur",,Mebel
9775.,JUMIRAN,"Pejarakan Rt 01/05  No 5, Sidoarjo, Jawa Timur",853936,Krupuk
9776.,"JUNAEDI,H . HULLER","Jl. Raya Anjatan Blok Karang Malang, Indramayu, Jawa Barat",-,Beras
9777.,"JUNIAWATI PERMEN, UD","Mastrip Kedurus 22, Surabaya, Jawa Timur",762463,Permen
9778.,"JUNO FASHION INDAH,CV","Jl.jend A Yani Rbm Blok D/12, Bekasi, Jawa Barat",021-88825239,Pakaian Jadi
9779.,"JUPITER SEMESTA UTAMA, PT","Jl Tole Iskandar No 100, Depok, Jawa Barat",021-8752840 / 771057,"Frame Divider,rak,wire Mesh"
9780.,"JURANG BANTENG, PT","Ngaringan Rt09, Ds, Blitar, Jawa Timur",691035,Kopi Ose
9781.,"JUSTUS SAKTI RAYA CORP, PT","Cakung Cilincing Raya No. 99, Jakarta Utara, DKI Jakarta",021-4401616,"Unsaturated,polyster,resin"
9782.,"JUSUP SLAMET SUGANDI/J S P, PT","Jl Cijerah Wetan No 70 Melong, Kota Cimahi, Jawa Barat",637601,Pakaian Jadi
9783.,JUWAHIR,"Jambangan Barat Rt 1 Rw 1, Sidoarjo, Jawa Timur",,Roti Manis
9784.,"JUWITA SUBUR PLASTIK,CV","Kenjeran 518,jl, Surabaya, Jawa Timur",3817253,Mainan Anak-anak Dr Plastik
9785.,"JVC ELECTRONICS INDONESIA,PT","Jl.surya Lestari Kav I-16 B, Karawang, Jawa Barat",(0267)412520,"Audio (radio,tape) Dan Compone"
9786.,"K & D ELECTRONIC INDONESIA, PT","Jl.industri Selatan Blok Pp - 2d, Bekasi, Jawa Barat",02189836158,Membrance Switch
9787.,"K P N, PT/TIRTA PRIMA ESINDO. PT","Jl Medan Belawan Km 23, Medan, Sumatera Utara","641031-641514,453168",Es Batu
9788.,K.H. WASIL,"Pana'an, Ds Bata2, Dsn, Pamekasan, Jawa Timur",323800,Genteng Dr Tanah Liat
9789.,KA YUNG YUN,"Jl.balaraja - Kronjo Kp. Tonjong Rt 012/04 Kec.kresek, Tangerang, Banten",021-70233101,Krupuk
9790.,KA'BAH KONVEKSI,"Dsn.dempok Baruharjo Rt 16/04, Trenggalek, Jawa Timur",879509,Rukuh Dan Jilbab
9791.,KABEL DEWI,"Kp.sindang Palay, Sukabumi, Jawa Barat",,"Rca, Jack Kabel"
9792.,"KABELINDO MURNI,  PT","Jl Rawa Girang No 2 Kip, Jakarta Timur, DKI Jakarta",021-4609065,Kabel
9793.,KACANG ANOMAN,"Dsn.balekambang, Kediri, Jawa Timur",0354548165,Kacang Kulit Goreng
9794.,KACANG ASIN ARGO SARI,"Jl. Sempor Baru, Kebumen, Jawa Tengah",0287-417352,Kacang Asin
9795.,KACANG ASIN PAK FARI,"Dessa Tanjung Anom, Deli Serdang, Sumatera Utara",061-77813709,Kacang Asin
9796.,KACANG ASIN PUTRA MANDIRI,"Dk Bawang Rt.05/06, Kebumen, Jawa Tengah",472354,Kacang Asin
9797.,KACANG ASIN SUBUR,"Sengon Bugel-mayong, Jepara, Jawa Tengah",0291-3308845,Kacang Asin
9798.,KACANG ATOM GAJAH,"Jl. Jatingaleh Trangkil 1 No. 242 A, Semarang, Jawa Tengah",024-7478774,Kacang Atom
9799.,KACANG BOROBUDUR,"Dsn Suko Kulon, Pati, Jawa Tengah",0295-383612,Kacang Atom
9800.,KACANG CAP 555/ UD. SIDAH,"Jl. Pangeran Rt. 9 No. 90a, Banjarmasin, Kalimantan Selatan",0511 3303147,Kacang Pilus
9801.,KACANG METE KARSAJI,"Kuwawur, Pati, Jawa Tengah",,Kacang Mete
9802.,KACANG METE KASIH SETIA,"Kuwawur, Pati, Jawa Tengah",,Mete
9803.,KACANG METE MARIYO,"Kuwawur Rtt03/02, Pati, Jawa Tengah",,Mete
9804.,KACANG TELUR AMANAH,"Jl. Lubuk Mata Kucing, Padang Panjang, Sumatera Barat",0752-484759,Kacang Telur Pedas
9805.,KACANG TELUR CAP RATNA DEWI(BINTANG TOP),"Jl.sultan Adam Komp. H. Andir Rt.17 No.2 Banjarmasin, Banjarmasin, Kalimantan Selatan",303616,Kacang Telur
9806.,"KACONG JAYA, UD","Kilensarirt.01/02, Situbondo, Jawa Timur",672959,Sendok Dan Garpu Dari Kayu
9807.,"KADI INTERNATIONAL, PT","Jl Kosambi-curug Km2 Klari    Desa Walahar, Karawang, Jawa Barat",0267-431081,Aspal Hotmik
9808.,KADSARI ROTAN,"Ki Gede Mayaguna Rt03/02, Cirebon, Jawa Barat",,Laci Rotan 1/2 Jadi
9809.,"KADU JAYA PERKASA, PT","Jl Raya Serang Km.8,5, Tangerang, Banten",021-5902404,Plastik
9810.,"KADU MANIS UTAMA, PT","Jl. Gatot Subroto Raya Km 9, Tangerang, Banten",021-5902404,Biskuit
9811.,KAFANA INSAN SEJAHTERA,"Hh No.25a, Jakarta Barat, DKI Jakarta",021-5323755,Laundry
9812.,"KAGEO IGAR JAYA TBK, PT","Jl Raya Bekasi Km 28,5, Bekasi, Jawa Barat",021--8800241,Barang Cetakan
9813.,KAGUM,"Jl.golf Raya No.21, Bandung, Jawa Barat",,Krupuk Kemplang
